Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorkedGroup,AttrionLikelihood,RiskLevel
35,No,Travel_Rarely,755,Research & Development,9,Master,Life Sciences,High,Male,Junior Level,Healthcare Representative,Medium,Single,6540,No,High,Low,10,5,High,1,1,0,0,5+ companies,0.014149744,Weak
27,No,Travel_Rarely,1469,Research & Development,1,College,Medical,Very High,Male,Entry Level,Laboratory Technician,Medium,Divorced,3816,No,Medium,Medium,5,2,High,5,2,0,4,0-1 Companies,0.024347696,Weak
28,No,Travel_Rarely,304,Sales,9,Master,Life Sciences,Medium,Male,Junior Level,Sales Executive,Very High,Single,5253,No,Very High,Low,7,1,High,7,5,0,7,0-1 Companies,0.060620293,Weak
49,No,Travel_Rarely,1261,Research & Development,7,Bachelor,Other,Medium,Male,Mid Level,Healthcare Representative,High,Single,10965,No,High,Low,26,2,High,5,2,0,0,5+ companies,0.017217696,Weak
51,No,Travel_Rarely,1178,Sales,14,College,Life Sciences,High,Female,Junior Level,Sales Executive,Very High,Married,4936,No,High,Medium,18,2,Medium,7,7,0,7,4-5 companies,0.005217475,Weak
36,No,Travel_Rarely,329,Research & Development,2,Bachelor,Life Sciences,Very High,Female,Entry Level,Research Scientist,High,Married,2543,No,Medium,Medium,6,3,High,2,2,2,2,4-5 companies,0.005720402,Weak
34,Yes,Non-Travel,1362,Sales,19,Bachelor,Marketing,Low,Male,Junior Level,Sales Executive,Very High,Single,5304,Yes,Medium,Low,9,3,Medium,5,2,0,4,5+ companies,0.712141083,Strong
55,No,Travel_Rarely,1311,Research & Development,2,Bachelor,Life Sciences,High,Female,Senior Level,Manager,Very High,Single,16659,Yes,High,Low,30,2,High,5,4,1,2,2-3 companies,0.008519212,Weak
24,No,Travel_Rarely,1371,Sales,10,Master,Marketing,Very High,Female,Junior Level,Sales Executive,High,Divorced,4260,Yes,Very High,Medium,5,2,Very High,5,2,0,3,0-1 Companies,0.383327958,Medium
30,No,Travel_Rarely,202,Sales,2,Below College,Technical Degree,High,Male,Entry Level,Sales Representative,Medium,Married,2476,No,Low,Medium,1,3,High,1,0,0,0,0-1 Companies,0.394917059,Medium
26,Yes,Travel_Frequently,575,Research & Development,3,Below College,Technical Degree,High,Male,Entry Level,Research Scientist,Low,Single,3102,No,High,Low,7,2,High,6,4,0,4,,0.120199601,Weak
22,No,Travel_Rarely,253,Research & Development,11,Bachelor,Medical,Low,Female,Entry Level,Research Scientist,Medium,Married,2244,No,Very High,Medium,2,1,High,2,1,1,2,0-1 Companies,0.094030825,Weak
36,No,Travel_Rarely,164,Sales,2,College,Medical,Medium,Male,Mid Level,Sales Executive,High,Married,7596,No,Medium,High,10,2,High,10,9,9,0,0-1 Companies,0.026426862,Weak
30,Yes,Travel_Frequently,464,Research & Development,4,Bachelor,Technical Degree,High,Male,Entry Level,Research Scientist,Very High,Single,2285,Yes,High,Low,3,4,High,1,0,0,0,5+ companies,0.243685668,Weak
37,No,Travel_Rarely,1107,Research & Development,14,Bachelor,Life Sciences,Very High,Female,Entry Level,Laboratory Technician,Low,Divorced,3034,No,High,Medium,18,2,Medium,18,7,12,17,0-1 Companies,0.059706478,Weak
40,No,Travel_Rarely,759,Sales,2,College,Marketing,Very High,Female,Junior Level,Sales Executive,Medium,Divorced,5715,No,High,High,8,5,High,5,4,1,3,5+ companies,0.002455646,Weak
42,No,Travel_Rarely,201,Research & Development,1,Master,Life Sciences,Medium,Female,Entry Level,Laboratory Technician,Low,Divorced,2576,No,Medium,Medium,8,5,High,5,2,1,2,2-3 companies,0.049468713,Weak
37,No,Travel_Rarely,1305,Research & Development,10,Master,Life Sciences,High,Male,Junior Level,Manufacturing Director,Medium,Single,4197,Yes,Very High,Low,18,2,Medium,1,0,0,1,2-3 companies,0.165915425,Weak
43,No,Travel_Rarely,982,Research & Development,12,Bachelor,Life Sciences,Low,Male,Senior Level,Research Director,Medium,Divorced,14336,No,High,Medium,25,3,High,25,10,3,9,0-1 Companies,0.00016083,Weak
40,No,Travel_Rarely,555,Research & Development,2,Bachelor,Medical,Medium,Female,Junior Level,Laboratory Technician,High,Married,3448,No,Medium,Medium,20,3,High,1,0,0,0,5+ companies,0.017271148,Weak
54,No,Travel_Rarely,821,Research & Development,5,College,Medical,Low,Male,Executive Level,Research Director,Low,Married,19406,No,High,Medium,24,4,Medium,4,2,1,2,4-5 companies,1.15E-05,Weak
34,No,Non-Travel,1381,Sales,4,Master,Marketing,High,Female,Junior Level,Sales Executive,High,Married,6538,No,Low,Medium,6,3,High,3,2,1,2,5+ companies,0.010446554,Weak
31,No,Travel_Rarely,480,Research & Development,7,College,Medical,Medium,Female,Junior Level,Manufacturing Director,Low,Married,4306,No,Medium,Medium,13,5,Low,13,10,3,12,0-1 Companies,0.007053092,Weak
43,No,Travel_Frequently,313,Research & Development,21,Bachelor,Medical,Very High,Male,Entry Level,Laboratory Technician,Very High,Married,2258,No,Low,Medium,8,1,High,3,2,1,2,5+ companies,0.139582178,Weak
43,No,Travel_Rarely,1473,Research & Development,8,Master,Other,High,Female,Junior Level,Healthcare Representative,High,Divorced,4522,Yes,Very High,Low,8,3,High,5,2,0,2,4-5 companies,0.027872829,Weak
25,No,Travel_Rarely,891,Sales,4,College,Life Sciences,Medium,Female,Junior Level,Sales Executive,Very High,Single,4487,Yes,Medium,Low,5,3,High,5,4,1,3,0-1 Companies,0.340754753,Medium
37,No,Non-Travel,1063,Research & Development,25,Doctor,Medical,Medium,Female,Junior Level,Research Scientist,High,Married,4449,Yes,Low,High,15,2,High,13,11,10,7,2-3 companies,0.009250104,Weak
31,No,Travel_Rarely,329,Research & Development,1,College,Life Sciences,Very High,Male,Entry Level,Laboratory Technician,Low,Married,2218,No,High,Medium,4,3,High,4,2,3,2,0-1 Companies,0.050209729,Weak
39,No,Travel_Frequently,1218,Research & Development,1,Below College,Life Sciences,Medium,Male,Executive Level,Manager,High,Divorced,19197,Yes,High,Medium,21,3,High,21,8,1,6,0-1 Companies,0.00052943,Weak
56,No,Travel_Frequently,906,Sales,6,Bachelor,Life Sciences,High,Female,Senior Level,Sales Executive,Low,Married,13212,No,Very High,Very High,36,0,Medium,7,7,7,7,5+ companies,0.282675936,Weak
30,No,Travel_Rarely,1082,Sales,12,Bachelor,Technical Degree,Medium,Female,Junior Level,Sales Executive,High,Single,6577,No,Medium,Low,6,6,High,5,4,4,4,,0.136850391,Weak
41,No,Travel_Rarely,645,Sales,1,Bachelor,Marketing,Medium,Male,Mid Level,Sales Executive,Low,Married,8392,No,High,Medium,10,2,High,10,7,0,7,0-1 Companies,0.050378894,Weak
28,No,Travel_Rarely,1300,Research & Development,17,College,Medical,High,Male,Junior Level,Laboratory Technician,Low,Divorced,4558,No,Very High,Medium,10,2,High,10,0,1,8,0-1 Companies,0.030883621,Weak
25,Yes,Travel_Rarely,688,Research & Development,3,Bachelor,Medical,Low,Male,Entry Level,Laboratory Technician,Low,Married,4031,No,High,Medium,6,5,High,2,2,0,2,4-5 companies,0.124098245,Weak
52,No,Travel_Rarely,319,Research & Development,3,Bachelor,Medical,Very High,Male,Mid Level,Manufacturing Director,High,Married,7969,Yes,High,Low,28,4,High,5,4,0,4,2-3 companies,0.031522569,Weak
45,No,Travel_Rarely,192,Research & Development,10,College,Life Sciences,Low,Male,Entry Level,Research Scientist,Very High,Married,2654,No,Very High,High,8,3,Medium,2,2,0,2,2-3 companies,0.009746973,Weak
52,No,Travel_Rarely,1490,Research & Development,4,College,Life Sciences,Very High,Female,Senior Level,Manager,Very High,Married,16555,No,Very High,Low,31,2,Low,5,2,1,4,2-3 companies,0.004437881,Weak
42,No,Travel_Frequently,532,Research & Development,29,College,Life Sciences,Low,Female,Junior Level,Research Scientist,High,Divorced,4556,No,Medium,Medium,19,3,High,5,4,0,2,2-3 companies,0.047487886,Weak
30,No,Travel_Rarely,317,Research & Development,2,Bachelor,Life Sciences,High,Female,Junior Level,Manufacturing Director,Very High,Single,6091,No,High,Low,11,2,High,5,4,0,2,2-3 companies,0.002367168,Weak
60,No,Travel_Rarely,422,Research & Development,7,Bachelor,Life Sciences,Low,Female,Executive Level,Manager,Low,Married,19566,No,Very High,Low,33,5,Low,29,8,11,10,4-5 companies,0.001075613,Weak
46,No,Travel_Rarely,1485,Research & Development,18,Bachelor,Medical,High,Female,Junior Level,Manufacturing Director,High,Divorced,4810,No,High,Medium,19,5,Medium,10,7,0,8,2-3 companies,0.000804673,Weak
42,No,Travel_Frequently,1368,Research & Development,28,Master,Technical Degree,Very High,Female,Junior Level,Healthcare Representative,Very High,Married,4523,No,Very High,Very High,7,4,Very High,6,5,0,4,,0.047698241,Weak
24,Yes,Travel_Rarely,1448,Sales,1,Below College,Technical Degree,Low,Female,Entry Level,Sales Representative,Medium,Single,3202,Yes,Medium,Low,6,4,High,5,3,1,4,0-1 Companies,0.942623567,Strong
34,Yes,Travel_Frequently,296,Sales,6,College,Marketing,Very High,Female,Entry Level,Sales Representative,High,Divorced,2351,No,Very High,Medium,3,3,Medium,2,2,1,0,,0.196336384,Weak
38,No,Travel_Frequently,1490,Research & Development,2,College,Life Sciences,Very High,Male,Entry Level,Laboratory Technician,Very High,Married,1702,Yes,High,Medium,1,3,High,1,0,0,0,0-1 Companies,0.109271755,Weak
40,No,Travel_Rarely,1398,Sales,2,Master,Life Sciences,High,Female,Executive Level,Manager,High,Married,18041,No,Very High,Low,21,2,High,20,15,1,12,,2.44E-05,Weak
26,No,Travel_Rarely,1349,Research & Development,23,Bachelor,Life Sciences,Low,Female,Entry Level,Research Scientist,Very High,Divorced,2886,No,Medium,High,3,3,Low,3,2,0,2,0-1 Companies,0.074182418,Weak
30,No,Non-Travel,1400,Research & Development,3,Bachelor,Life Sciences,High,Male,Entry Level,Laboratory Technician,Very High,Married,2097,No,High,Medium,9,3,Low,5,3,1,4,4-5 companies,0.012317406,Weak
29,No,Travel_Rarely,986,Research & Development,3,Master,Medical,Medium,Male,Mid Level,Research Director,High,Married,11935,No,High,Low,10,2,High,10,2,0,7,0-1 Companies,0.00028567,Weak
29,Yes,Travel_Rarely,408,Research & Development,25,Doctor,Technical Degree,High,Female,Entry Level,Research Scientist,Medium,Married,2546,No,Medium,Low,6,2,Very High,2,2,1,1,4-5 companies,0.57768265,Strong
19,Yes,Travel_Rarely,489,Human Resources,2,College,Technical Degree,Low,Male,Entry Level,Human Resources,Very High,Single,2564,No,High,Low,1,3,Very High,1,0,0,0,0-1 Companies,0.518070279,Strong
30,No,Non-Travel,1398,Sales,22,Master,Other,High,Female,Mid Level,Sales Executive,Low,Married,8412,No,High,Low,10,3,High,9,8,7,8,,0.094185174,Weak
57,No,Travel_Rarely,210,Sales,29,Bachelor,Marketing,Low,Male,Senior Level,Manager,Very High,Divorced,14118,No,High,Medium,32,3,Medium,1,0,0,0,2-3 companies,0.037782767,Weak
50,No,Travel_Rarely,1099,Research & Development,29,Master,Life Sciences,Medium,Male,Senior Level,Manager,High,Married,17046,No,Medium,Medium,28,2,High,27,10,15,7,,0.005711524,Weak
30,No,Non-Travel,1116,Research & Development,2,Bachelor,Medical,High,Female,Entry Level,Laboratory Technician,Very High,Single,2564,No,High,Low,12,2,Medium,11,7,6,7,,0.016095804,Weak
60,No,Travel_Frequently,1499,Sales,28,Bachelor,Marketing,High,Female,Mid Level,Sales Executive,Low,Married,10266,No,Very High,Low,22,5,Very High,18,13,13,11,4-5 companies,0.160997225,Weak
47,No,Travel_Rarely,983,Research & Development,2,College,Medical,Low,Female,Junior Level,Manufacturing Director,Very High,Divorced,5070,No,High,Very High,20,2,High,5,0,0,4,4-5 companies,0.003343508,Weak
46,No,Travel_Rarely,1009,Research & Development,2,Bachelor,Life Sciences,Low,Male,Senior Level,Research Director,High,Married,17861,No,High,Low,26,2,Low,3,2,0,1,5+ companies,0.002041774,Weak
35,No,Travel_Rarely,144,Research & Development,22,Bachelor,Life Sciences,Very High,Male,Entry Level,Laboratory Technician,High,Single,4230,No,High,Low,6,2,High,5,4,4,3,,0.23122919,Weak
54,No,Travel_Rarely,548,Research & Development,8,Master,Life Sciences,High,Female,Junior Level,Laboratory Technician,High,Single,3780,No,High,Low,19,3,High,1,0,0,0,5+ companies,0.027552018,Weak
34,No,Travel_Rarely,1303,Research & Development,2,Master,Life Sciences,Very High,Male,Entry Level,Research Scientist,High,Divorced,2768,No,High,Medium,14,3,High,7,3,5,7,2-3 companies,0.001848946,Weak
46,No,Travel_Rarely,1125,Sales,10,Bachelor,Marketing,High,Female,Mid Level,Sales Executive,Very High,Married,9071,Yes,High,Medium,15,3,High,3,2,1,2,2-3 companies,0.086936369,Weak
31,No,Travel_Rarely,1274,Research & Development,9,Below College,Life Sciences,High,Male,Mid Level,Manufacturing Director,Medium,Divorced,10648,No,Very High,Medium,13,6,Very High,13,8,0,8,0-1 Companies,0.00352324,Weak
33,Yes,Travel_Rarely,1277,Research & Development,15,Below College,Medical,Medium,Male,Mid Level,Manager,High,Married,13610,Yes,Very High,Low,15,2,Very High,7,6,7,7,5+ companies,0.166249459,Weak
33,Yes,Travel_Rarely,587,Research & Development,10,Below College,Medical,Low,Male,Entry Level,Laboratory Technician,Very High,Divorced,3408,No,Low,Very High,8,2,High,4,3,1,3,5+ companies,0.287657992,Weak
30,No,Travel_Rarely,413,Sales,7,Below College,Marketing,Very High,Male,Entry Level,Sales Representative,Medium,Single,2983,No,Low,Low,4,3,High,3,2,1,2,,0.534111597,Strong
35,No,Travel_Rarely,1276,Research & Development,16,Bachelor,Life Sciences,Very High,Male,Mid Level,Healthcare Representative,High,Married,7632,Yes,High,Low,10,2,High,8,7,0,0,4-5 companies,0.24941397,Weak
31,Yes,Travel_Frequently,534,Research & Development,20,Bachelor,Life Sciences,Low,Male,Mid Level,Healthcare Representative,High,Married,9824,No,Low,Low,12,2,High,1,0,0,0,2-3 companies,0.849961525,Strong
34,Yes,Travel_Frequently,988,Human Resources,23,Bachelor,Human Resources,Medium,Female,Mid Level,Human Resources,Low,Divorced,9950,Yes,High,Very High,11,2,High,3,2,0,2,5+ companies,0.921606813,Strong
42,No,Travel_Frequently,1474,Research & Development,5,College,Other,Medium,Male,Entry Level,Laboratory Technician,High,Married,2093,No,Very High,Medium,8,4,High,2,2,2,0,4-5 companies,0.020769431,Weak
36,No,Non-Travel,635,Sales,10,Master,Medical,Medium,Male,Mid Level,Sales Executive,Very High,Single,9980,No,Very High,Low,10,3,Medium,10,3,9,7,0-1 Companies,0.077067712,Weak
22,Yes,Travel_Frequently,1368,Research & Development,4,Below College,Technical Degree,High,Male,Entry Level,Laboratory Technician,High,Single,3894,No,High,Low,4,3,High,2,2,1,2,4-5 companies,0.299607155,Weak
48,No,Travel_Rarely,163,Sales,2,Doctor,Marketing,Medium,Female,Junior Level,Sales Executive,Very High,Married,4051,No,Low,Medium,14,2,High,9,7,6,7,2-3 companies,0.010432085,Weak
55,No,Travel_Rarely,1117,Sales,18,Doctor,Life Sciences,Low,Female,Senior Level,Manager,Medium,Single,16835,No,Very High,Low,37,2,High,10,9,7,7,2-3 companies,0.014563383,Weak
41,No,Non-Travel,267,Sales,10,College,Life Sciences,Very High,Male,Junior Level,Sales Executive,Very High,Single,6230,No,Very High,Low,16,3,High,14,3,1,10,5+ companies,0.006832173,Weak
35,No,Travel_Rarely,619,Sales,1,Bachelor,Marketing,Medium,Male,Junior Level,Sales Executive,High,Married,4717,No,High,Low,15,2,High,11,9,6,9,5+ companies,0.031138402,Weak
40,No,Travel_Rarely,302,Research & Development,6,Bachelor,Life Sciences,Medium,Female,Senior Level,Manufacturing Director,High,Single,13237,No,High,Low,22,3,High,20,6,5,13,5+ companies,0.031084111,Weak
39,No,Travel_Frequently,443,Research & Development,8,Below College,Life Sciences,High,Female,Entry Level,Laboratory Technician,High,Married,3755,No,Low,Medium,8,3,High,8,3,0,7,0-1 Companies,0.118394238,Weak
31,No,Travel_Rarely,828,Sales,2,Below College,Life Sciences,Medium,Male,Junior Level,Sales Executive,Very High,Single,6582,Yes,High,Low,10,2,Very High,6,5,0,5,4-5 companies,0.386471982,Medium
42,No,Travel_Rarely,319,Research & Development,24,Bachelor,Medical,Very High,Male,Mid Level,Manufacturing Director,Low,Married,7406,Yes,Very High,Medium,10,5,Medium,10,9,5,8,0-1 Companies,0.085047123,Weak
45,No,Travel_Rarely,561,Sales,2,Bachelor,Other,Very High,Male,Junior Level,Sales Executive,Medium,Married,4805,No,Medium,Medium,9,3,Very High,8,7,3,7,,0.015101886,Weak
26,Yes,Travel_Frequently,426,Human Resources,17,Master,Life Sciences,Medium,Female,Entry Level,Human Resources,High,Divorced,2741,Yes,Medium,Medium,8,2,Medium,7,7,1,0,,0.599429607,Strong
29,No,Travel_Rarely,232,Research & Development,19,Bachelor,Technical Degree,Very High,Male,Junior Level,Manufacturing Director,Very High,Divorced,4262,No,Medium,High,8,2,Very High,3,2,1,2,4-5 companies,0.014427641,Weak
33,No,Travel_Rarely,922,Research & Development,1,Doctor,Medical,Low,Female,Senior Level,Research Director,High,Divorced,16184,No,High,Medium,10,2,High,6,1,0,5,4-5 companies,0.000292853,Weak
31,No,Travel_Rarely,688,Sales,7,Bachelor,Life Sciences,High,Male,Mid Level,Manager,Very High,Divorced,11557,No,High,Medium,10,3,Medium,5,4,0,1,5+ companies,0.001449478,Weak
18,Yes,Travel_Frequently,1306,Sales,5,Bachelor,Marketing,Medium,Male,Entry Level,Sales Representative,Medium,Single,1878,Yes,Very High,Low,0,3,High,0,0,0,0,0-1 Companies,0.938307834,Strong
40,No,Non-Travel,1094,Sales,28,Bachelor,Other,High,Male,Mid Level,Sales Executive,Low,Divorced,10932,No,High,Medium,20,2,High,1,0,0,1,2-3 companies,0.063020853,Weak
41,No,Non-Travel,509,Research & Development,2,Master,Other,Low,Female,Junior Level,Healthcare Representative,High,Single,6811,Yes,Low,Low,10,3,High,8,7,0,7,2-3 companies,0.094902628,Weak
26,No,Travel_Rarely,775,Sales,29,College,Medical,Low,Male,Junior Level,Sales Executive,High,Divorced,4306,No,Low,High,8,5,High,0,0,0,0,4-5 companies,0.360507188,Medium
35,No,Travel_Rarely,195,Sales,1,Bachelor,Medical,Low,Female,Junior Level,Sales Executive,High,Single,4859,No,Very High,Low,5,3,High,5,4,0,3,0-1 Companies,0.124211124,Weak
34,No,Travel_Rarely,258,Sales,21,Master,Life Sciences,Very High,Male,Junior Level,Sales Executive,Very High,Single,5337,No,Very High,Low,10,3,High,10,7,5,7,0-1 Companies,0.029406612,Weak
26,Yes,Travel_Rarely,471,Research & Development,24,Bachelor,Technical Degree,High,Male,Entry Level,Laboratory Technician,Very High,Single,2340,Yes,Medium,Low,1,3,Low,1,0,0,0,0-1 Companies,0.967497522,Strong
37,No,Travel_Rarely,799,Research & Development,1,Bachelor,Technical Degree,Medium,Female,Mid Level,Manufacturing Director,Very High,Single,7491,No,Very High,Low,12,3,Very High,6,5,1,2,4-5 companies,0.035939994,Weak
46,No,Travel_Frequently,1034,Research & Development,18,Below College,Medical,Low,Female,Mid Level,Healthcare Representative,High,Married,10527,No,Very High,Low,28,3,Medium,2,2,1,2,4-5 companies,0.338336003,Medium
41,No,Travel_Rarely,1276,Sales,2,Doctor,Life Sciences,Medium,Female,Senior Level,Manager,Low,Married,16595,No,Medium,Medium,22,2,High,18,16,11,8,5+ companies,0.000808305,Weak
37,No,Non-Travel,142,Sales,9,Master,Medical,Low,Male,Mid Level,Sales Executive,Medium,Divorced,8834,No,Very High,Medium,9,6,High,9,5,7,7,0-1 Companies,0.039458093,Weak
52,No,Travel_Rarely,956,Research & Development,6,College,Technical Degree,Very High,Male,Junior Level,Research Scientist,Low,Divorced,5577,Yes,Medium,High,18,3,High,10,9,6,9,2-3 companies,0.00304609,Weak
32,Yes,Non-Travel,1474,Sales,11,Master,Other,Very High,Male,Junior Level,Sales Executive,High,Married,4707,No,Very High,Low,6,2,High,4,2,1,2,5+ companies,0.016401145,Weak
24,No,Travel_Frequently,535,Sales,24,Bachelor,Medical,Very High,Male,Entry Level,Sales Representative,Very High,Married,2400,No,High,High,3,3,High,2,2,2,1,,0.099794011,Weak
38,No,Travel_Rarely,1495,Research & Development,10,Bachelor,Medical,High,Female,Junior Level,Healthcare Representative,High,Married,9824,No,High,Medium,18,4,High,1,0,0,0,2-3 companies,0.001155626,Weak
37,No,Travel_Rarely,446,Research & Development,1,Master,Life Sciences,Medium,Female,Junior Level,Manufacturing Director,Medium,Married,6447,No,Medium,Medium,8,2,Medium,6,5,4,3,5+ companies,0.005884784,Weak
49,No,Travel_Rarely,1245,Research & Development,18,Master,Life Sciences,Very High,Male,Executive Level,Research Director,High,Divorced,19502,Yes,High,Medium,31,5,High,31,9,0,9,0-1 Companies,3.26E-06,Weak
24,No,Travel_Rarely,691,Research & Development,23,Bachelor,Medical,Medium,Male,Entry Level,Research Scientist,Very High,Married,2725,Yes,Medium,High,6,3,High,6,5,1,4,0-1 Companies,0.048421253,Weak
26,No,Travel_Rarely,703,Sales,28,College,Marketing,Low,Male,Junior Level,Sales Executive,Medium,Married,6272,No,Very High,High,6,5,Very High,5,3,1,4,0-1 Companies,0.332539498,Medium
24,No,Travel_Rarely,823,Research & Development,17,College,Other,Very High,Male,Entry Level,Laboratory Technician,Medium,Married,2127,No,Very High,Medium,1,2,High,1,0,0,0,0-1 Companies,0.090674931,Weak
50,No,Travel_Frequently,1246,Human Resources,3,Bachelor,Medical,Low,Male,Executive Level,Manager,Medium,Married,18200,No,High,Medium,32,2,High,32,5,10,7,0-1 Companies,0.000179468,Weak
25,No,Travel_Rarely,622,Sales,13,Below College,Medical,Medium,Male,Entry Level,Sales Representative,High,Married,2096,No,High,Low,7,1,High,7,4,0,6,0-1 Companies,0.459034726,Strong
24,Yes,Travel_Frequently,1287,Research & Development,7,Bachelor,Life Sciences,Low,Female,Entry Level,Laboratory Technician,High,Married,2886,Yes,Very High,Medium,6,4,High,6,3,1,2,0-1 Companies,0.631317051,Strong
30,Yes,Travel_Frequently,448,Sales,12,Master,Life Sciences,Medium,Male,Entry Level,Sales Representative,Low,Married,2033,No,High,Medium,1,2,Very High,1,0,0,0,0-1 Companies,0.824368951,Strong
34,No,Travel_Rarely,254,Research & Development,1,College,Life Sciences,Medium,Male,Entry Level,Research Scientist,Very High,Married,3622,Yes,Very High,Medium,6,3,High,6,5,1,3,0-1 Companies,0.010453717,Weak
31,Yes,Travel_Rarely,1365,Sales,13,Master,Medical,Medium,Male,Junior Level,Sales Executive,Low,Divorced,4233,No,High,Low,9,2,Low,3,1,1,2,2-3 companies,0.488060264,Strong
35,No,Travel_Rarely,538,Research & Development,25,College,Other,Low,Male,Junior Level,Laboratory Technician,Very High,Single,3681,No,Very High,Low,9,3,High,3,2,0,2,4-5 companies,0.138464716,Weak
31,No,Travel_Rarely,525,Sales,6,Master,Medical,Low,Male,Junior Level,Sales Executive,Very High,Divorced,5460,No,Very High,High,13,4,Very High,7,7,5,7,4-5 companies,0.015080037,Weak
27,No,Travel_Rarely,798,Research & Development,6,Master,Medical,Low,Female,Entry Level,Research Scientist,High,Divorced,2187,No,High,High,6,5,Medium,5,3,0,3,,0.01738663,Weak
37,No,Travel_Rarely,558,Sales,2,Bachelor,Marketing,Very High,Male,Junior Level,Sales Executive,High,Married,9602,Yes,High,Medium,17,3,Medium,3,0,1,0,4-5 companies,0.116024928,Weak
20,No,Travel_Rarely,959,Research & Development,1,Bachelor,Life Sciences,Very High,Female,Entry Level,Research Scientist,Medium,Single,2836,No,Very High,Low,1,0,Very High,1,0,0,0,0-1 Companies,0.158814156,Weak
42,No,Travel_Rarely,622,Research & Development,2,Master,Life Sciences,High,Female,Junior Level,Healthcare Representative,Very High,Married,4089,No,Medium,High,10,4,High,10,2,2,2,0-1 Companies,0.000640841,Weak
43,No,Travel_Rarely,782,Research & Development,6,Master,Other,Medium,Male,Senior Level,Research Director,Very High,Divorced,16627,Yes,High,Medium,21,3,Medium,1,0,0,0,4-5 companies,0.000466969,Weak
38,No,Travel_Rarely,362,Research & Development,1,Below College,Life Sciences,High,Female,Entry Level,Research Scientist,Low,Single,2619,No,Very High,Low,8,3,Medium,0,0,0,0,2-3 companies,0.059787639,Weak
43,No,Travel_Frequently,1001,Research & Development,9,Doctor,Medical,Very High,Male,Junior Level,Laboratory Technician,High,Divorced,5679,Yes,Medium,Medium,10,3,High,8,7,4,7,2-3 companies,0.040889828,Weak
48,No,Travel_Rarely,1236,Research & Development,1,Master,Life Sciences,Very High,Female,Senior Level,Manager,Low,Married,15402,No,Low,Medium,21,3,Low,3,2,0,2,5+ companies,0.021736884,Weak
44,No,Travel_Rarely,1112,Human Resources,1,Master,Life Sciences,Low,Female,Junior Level,Human Resources,High,Single,5985,No,Medium,Low,10,1,Very High,2,2,0,2,4-5 companies,0.120055912,Weak
34,No,Travel_Rarely,204,Sales,14,Bachelor,Technical Degree,High,Female,Entry Level,Sales Representative,High,Divorced,2579,Yes,Very High,High,8,3,High,8,2,0,6,0-1 Companies,0.424335407,Strong
27,Yes,Travel_Rarely,1420,Sales,2,Below College,Marketing,High,Male,Entry Level,Sales Representative,Low,Divorced,3041,No,Medium,Medium,5,3,High,4,3,0,2,,0.077373599,Weak
21,No,Travel_Rarely,1343,Sales,22,Below College,Technical Degree,High,Male,Entry Level,Sales Representative,High,Single,3447,No,High,Low,3,2,High,3,2,1,2,0-1 Companies,0.651669913,Strong
44,No,Travel_Rarely,1315,Research & Development,3,Master,Other,Very High,Male,Executive Level,Manager,Very High,Married,19513,Yes,Low,Medium,26,2,Very High,2,2,0,1,4-5 companies,0.00089928,Weak
22,No,Travel_Rarely,604,Research & Development,6,Below College,Medical,Low,Male,Entry Level,Research Scientist,High,Married,2773,No,Very High,Low,3,3,High,2,2,2,2,,0.092497057,Weak
33,No,Travel_Rarely,1216,Sales,8,Master,Marketing,High,Male,Junior Level,Sales Executive,High,Divorced,7104,No,Very High,Low,6,3,High,5,0,1,2,,0.039799187,Weak
32,No,Travel_Rarely,646,Research & Development,9,Master,Life Sciences,Low,Female,Junior Level,Research Scientist,Very High,Married,6322,Yes,Very High,Medium,6,2,Medium,6,4,0,5,0-1 Companies,0.04309845,Weak
30,No,Travel_Frequently,160,Research & Development,3,Bachelor,Medical,High,Female,Entry Level,Research Scientist,High,Divorced,2083,No,High,Medium,1,2,High,1,0,0,0,0-1 Companies,0.015641259,Weak
53,No,Travel_Rarely,238,Sales,1,Below College,Medical,Very High,Female,Junior Level,Sales Executive,Low,Single,8381,No,Very High,Low,18,2,Very High,14,7,8,10,5+ companies,0.029863778,Weak
34,No,Travel_Rarely,1397,Research & Development,1,Doctor,Life Sciences,Medium,Male,Entry Level,Research Scientist,Very High,Married,2691,No,Very High,Medium,10,4,Medium,10,9,8,8,0-1 Companies,0.000931366,Weak
45,Yes,Travel_Frequently,306,Sales,26,Master,Life Sciences,Low,Female,Junior Level,Sales Executive,Low,Married,4286,No,Very High,High,5,4,High,1,1,0,0,2-3 companies,0.280068027,Weak
26,No,Travel_Rarely,991,Research & Development,6,Bachelor,Life Sciences,High,Female,Entry Level,Laboratory Technician,Very High,Married,2659,Yes,High,Medium,3,2,High,3,2,0,2,0-1 Companies,0.127506087,Weak
37,No,Travel_Rarely,482,Research & Development,3,Bachelor,Other,High,Male,Mid Level,Manufacturing Director,High,Married,9434,No,High,Medium,10,2,High,10,7,7,8,0-1 Companies,0.001525987,Weak
